12141526 	3
12141527 	3
12141528 	3
12141529 	3
12141530 	3
12151626 	3
12151627 	3
12151628 	3
12151629 	3
12151630 	3
12161726 	3
12161727 	3
12161728 	3
12161729 	3
12161730 	3
12171826 	3
12171827 	3
12171828 	3
12171829 	3
12171830 	3
12181926 	3
12181927 	3
12181928 	3
12181929 	3
12181930 	3
12141506 	2
12141507 	2
12141508 	2
12141509 	2
12141510 	2
12151606 	2
12151607 	2
12151608 	2
12151609 	2
12151610 	2
12161711 	2
12161712 	2
12161713 	2
12161714 	2
12161715 	2
12161722 	2
12161723 	2
12161724 	2
12161725 	2
12161726 	2
12171826 	2
12171827 	2
12171828 	2
12171829 	2
12171830 	2
12141522 	1
12141523 	1
12141524 	1
12141525 	1
12141526 	1
12141528 	1
12141529 	1
12141530 	1
12151601 	1
12151602 	1
12151615 	1
12151616 	1
12151617 	1
12151618 	1
12151619 	1
12161711 	1
12161712 	1
12161713 	1
12161714 	1
12161715 	1
12161720 	1
12161721 	1
12161722 	1
12161723 	1
12161724 	1
